,open,high,low,close,volume
2026-04-23 14:15:00+05:30,24209.1,24221.4,24189.2,24189.45,17332867
2026-04-23 14:30:00+05:30,24190.95,24190.95,24160.65,24162.6,15373047
2026-04-23 14:45:00+05:30,24163.75,24194.05,24157.95,24180.85,15939074
2026-04-23 15:00:00+05:30,24181.8,24216.7,24159.0,24160.0,32974692
2026-04-23 15:15:00+05:30,24161.3,24175.1,24149.8,24156.05,35547909
2026-04-24 09:15:00+05:30,24100.55,24206.0,24056.6,24058.1,45167753
2026-04-24 09:30:00+05:30,24058.05,24061.6,23983.75,23984.25,23683420
2026-04-24 09:45:00+05:30,23985.4,23987.15,23944.1,23955.0,20202316
2026-04-24 10:00:00+05:30,23954.9,24003.35,23954.5,23992.85,18245182
2026-04-24 10:15:00+05:30,23992.25,23992.25,23937.25,23957.7,15160269
2026-04-24 10:30:00+05:30,23956.2,23971.2,23932.25,23933.65,11810518
2026-04-24 10:45:00+05:30,23933.4,23944.85,23914.9,23925.4,14471128
2026-04-24 11:00:00+05:30,23925.55,23943.8,23909.55,23916.2,14022810
2026-04-24 11:15:00+05:30,23915.1,23942.75,23903.25,23931.3,12907780
2026-04-24 11:30:00+05:30,23930.4,23949.3,23922.65,23927.05,11196406
2026-04-24 11:45:00+05:30,23926.3,23926.65,23893.4,23898.25,14157884
2026-04-24 12:00:00+05:30,23897.75,23933.05,23894.15,23930.65,13126072
2026-04-24 12:15:00+05:30,23930.8,23936.5,23878.8,23881.8,13311415
2026-04-24 12:30:00+05:30,23881.85,23910.7,23880.3,23882.1,11304371
2026-04-24 12:45:00+05:30,23881.1,23919.05,23881.1,23904.35,12716741
2026-04-24 13:00:00+05:30,23904.3,23905.5,23851.15,23865.5,13224340
2026-04-24 13:15:00+05:30,23865.6,23880.05,23855.9,23878.3,11301029
2026-04-24 13:30:00+05:30,23878.4,23878.55,23826.2,23830.4,12837992
2026-04-24 13:45:00+05:30,23829.6,23858.55,23829.6,23846.3,12150649
2026-04-24 14:00:00+05:30,23847.6,23849.95,23813.65,23841.65,14621930
2026-04-24 14:15:00+05:30,23841.45,23890.35,23840.15,23888.55,13931923
2026-04-24 14:30:00+05:30,23887.75,23926.9,23885.95,23926.0,18278516
2026-04-24 14:45:00+05:30,23925.45,23930.5,23905.05,23920.9,17806261
2026-04-24 15:00:00+05:30,23920.65,23920.65,23863.3,23895.45,31684515
2026-04-24 15:15:00+05:30,23895.25,23924.2,23894.5,23903.95,37002544
2026-04-27 09:15:00+05:30,23945.45,24067.5,23936.2,24042.0,43876035
2026-04-27 09:30:00+05:30,24045.05,24057.7,23998.3,24045.4,23769756
2026-04-27 09:45:00+05:30,24043.9,24107.6,24043.45,24099.05,21937719
2026-04-27 10:00:00+05:30,24098.75,24102.65,24061.7,24063.3,15254021
2026-04-27 10:15:00+05:30,24063.9,24103.15,24045.4,24058.3,15077089
2026-04-27 10:30:00+05:30,24058.1,24061.2,24013.0,24043.45,13569556
2026-04-27 10:45:00+05:30,24041.6,24088.95,24025.75,24072.2,11205089
2026-04-27 11:00:00+05:30,24071.95,24076.6,24026.85,24056.9,13503248
2026-04-27 11:15:00+05:30,24055.45,24077.5,24029.7,24030.95,13617983
2026-04-27 11:30:00+05:30,24031.65,24039.85,23974.4,23998.65,17155123
2026-04-27 11:45:00+05:30,23998.45,24039.9,23984.3,24037.2,12727889
2026-04-27 12:00:00+05:30,24036.2,24045.15,24022.8,24040.5,11638484
2026-04-27 12:15:00+05:30,24039.85,24066.1,24031.2,24059.0,12717380
2026-04-27 12:30:00+05:30,24057.75,24092.85,24056.95,24075.7,11759479
2026-04-27 12:45:00+05:30,24074.75,24084.0,24065.45,24071.5,11912793
2026-04-27 13:00:00+05:30,24071.7,24100.0,24069.4,24099.75,11769540
2026-04-27 13:15:00+05:30,24100.2,24120.55,24093.3,24107.5,12717543
2026-04-27 13:30:00+05:30,24107.8,24127.2,24099.4,24116.25,12538369
2026-04-27 13:45:00+05:30,24114.75,24129.55,24102.45,24114.25,12784608
2026-04-27 14:00:00+05:30,24113.35,24124.55,24105.65,24122.2,10626033
2026-04-27 14:15:00+05:30,24122.1,24124.0,24102.2,24111.2,11470554
2026-04-27 14:30:00+05:30,24109.9,24112.5,24078.9,24110.65,19503418
2026-04-27 14:45:00+05:30,24110.65,24130.7,24097.8,24121.95,21388378
2026-04-27 15:00:00+05:30,24121.95,24121.95,24088.95,24094.3,29126749
2026-04-27 15:15:00+05:30,24095.15,24112.75,24077.85,24110.2,35558576
2026-04-28 09:15:00+05:30,24049.9,24133.65,23999.25,24115.35,46821382
2026-04-28 09:30:00+05:30,24116.2,24133.75,24090.4,24128.3,26724657
2026-04-28 09:45:00+05:30,24130.8,24156.6,24112.95,24155.3,23244345
2026-04-28 10:00:00+05:30,24154.35,24168.55,24145.05,24148.3,24225400
2026-04-28 10:15:00+05:30,24148.4,24181.8,24144.5,24166.8,18701380
2026-04-28 10:30:00+05:30,24168.2,24171.95,24124.25,24134.85,15241591
2026-04-28 10:45:00+05:30,24135.6,24174.65,24134.35,24167.8,12856583
2026-04-28 11:00:00+05:30,24169.85,24169.85,24132.6,24148.0,15373488
2026-04-28 11:15:00+05:30,24148.15,24148.95,24057.9,24058.0,14479703
2026-04-28 11:30:00+05:30,24057.85,24086.75,24045.35,24085.4,15509917
2026-04-28 11:45:00+05:30,24086.45,24093.8,24055.6,24056.0,12311608
2026-04-28 12:00:00+05:30,24058.1,24058.6,24029.3,24048.25,15681960
2026-04-28 12:15:00+05:30,24046.85,24057.45,24003.85,24012.45,14862207
2026-04-28 12:30:00+05:30,24011.9,24031.0,23992.3,24029.85,15678747
2026-04-28 12:45:00+05:30,24030.8,24040.45,24006.0,24007.35,13546621
2026-04-28 13:00:00+05:30,24007.9,24034.0,23999.7,24017.6,14400084
2026-04-28 13:15:00+05:30,24018.7,24049.0,24018.05,24019.45,14357873
2026-04-28 13:30:00+05:30,24021.05,24022.05,23961.25,24002.65,17728057
2026-04-28 13:45:00+05:30,24003.05,24029.85,23985.75,24010.55,12938753
2026-04-28 14:00:00+05:30,24011.6,24011.75,23981.95,23981.95,13840073
2026-04-28 14:15:00+05:30,23983.2,24013.45,23972.95,23997.4,17662148
2026-04-28 14:30:00+05:30,23997.4,24036.6,23997.4,24032.2,19675887
2026-04-28 14:45:00+05:30,24032.0,24046.45,24019.1,24039.15,22565351
2026-04-28 15:00:00+05:30,24039.15,24042.45,23968.65,23972.45,48955526
2026-04-28 15:15:00+05:30,23972.75,24016.5,23957.05,24016.5,84284833
2026-04-29 09:15:00+05:30,24096.9,24123.55,24059.95,24111.55,80186510
2026-04-29 09:30:00+05:30,24110.45,24144.45,24087.35,24141.35,38952640
2026-04-29 09:45:00+05:30,24142.65,24180.5,24141.8,24173.2,25850875
2026-04-29 10:00:00+05:30,24174.6,24236.8,24174.6,24233.8,27142510
2026-04-29 10:15:00+05:30,24235.2,24296.3,24234.65,24290.15,25398613
2026-04-29 10:30:00+05:30,24290.4,24291.7,24263.1,24267.45,21236704
2026-04-29 10:45:00+05:30,24268.4,24290.65,24254.8,24287.1,21113994
2026-04-29 11:00:00+05:30,24288.25,24298.95,24273.1,24288.15,16380496
2026-04-29 11:15:00+05:30,24289.9,24295.35,24260.0,24263.25,16264337
2026-04-29 11:30:00+05:30,24266.1,24286.4,24263.5,24271.85,12341735
2026-04-29 11:45:00+05:30,24273.3,24277.85,24263.65,24276.95,13649024
2026-04-29 12:00:00+05:30,24278.2,24311.9,24267.55,24293.15,13849234
2026-04-29 12:15:00+05:30,24295.1,24317.1,24293.2,24307.1,10264704
2026-04-29 12:30:00+05:30,24309.35,24331.8,24305.5,24321.6,12576777
2026-04-29 12:45:00+05:30,24323.15,24329.7,24314.6,24316.85,12895782
2026-04-29 13:00:00+05:30,24318.95,24334.7,24311.5,24318.2,12602966
2026-04-29 13:15:00+05:30,24319.7,24325.85,24304.6,24305.2,11356875
2026-04-29 13:30:00+05:30,24307.25,24317.0,24267.5,24272.55,17017781
2026-04-29 13:45:00+05:30,24273.65,24283.3,24254.95,24254.95,17410889
2026-04-29 14:00:00+05:30,24256.2,24259.85,24197.45,24214.6,16317074
2026-04-29 14:15:00+05:30,24215.6,24217.5,24184.95,24186.7,11768443
2026-04-29 14:30:00+05:30,24188.45,24229.25,24182.1,24229.15,12274862
2026-04-29 14:45:00+05:30,24230.7,24230.7,24183.9,24185.45,12424416
